Frame,Visibility,X,Y,Radius
0,1,1485,386,0
1,1,1481,386,8
2,1,1473,390,8
3,1,1466,393,9
4,1,1462,401,9
5,1,1458,405,10
6,1,1455,412,10
7,1,1451,416,10
8,1,1447,420,10
9,0,-1,-1,0
10,1,1432,442,10
11,1,1428,450,11
12,1,1428,461,11
13,1,1425,468,11
14,1,1421,476,11
15,0,-1,-1,0
16,1,1803,693,12
17,1,1803,693,14
18,1,326,56,14
19,1,326,56,11
20,1,326,56,9
21,1,326,56,9
22,1,296,705,6
23,1,300,705,6
24,1,1035,667,7
25,1,1038,663,7
26,1,131,547,7
27,1,1781,60,9
28,1,1526,1001,9
29,1,1800,622,15
30,1,1800,615,15
31,1,161,1020,13
32,1,465,1020,12
33,1,468,1023,12
34,1,1713,1016,12
35,1,1721,1020,13
36,1,1725,1016,13
37,1,1740,1016,12
38,1,1725,543,14
39,1,1770,1020,14
40,1,461,1016,13
41,1,465,1016,13
42,1,528,1020,13
43,1,532,1020,13
44,1,1631,945,12
45,1,262,851,14
46,1,577,862,14
47,0,-1,-1,0
48,1,663,566,15
49,1,675,558,15
50,1,682,555,14
51,0,-1,-1,0
52,1,708,547,13
53,1,1691,960,12
54,1,236,1020,12
55,1,236,1020,12
56,1,232,1020,13
57,1,765,543,12
58,1,776,543,12
59,1,783,543,12
60,1,791,547,13
61,1,802,547,13
62,1,232,1023,12
63,1,828,558,13
64,1,825,978,11
65,1,843,982,10
66,1,862,581,10
67,1,873,588,11
68,1,885,596,12
69,1,896,607,11
70,1,907,622,11
71,1,915,633,11
72,1,386,678,11
73,1,386,678,11
74,1,911,600,11
75,1,907,585,11
76,1,375,682,11
77,1,892,558,13
78,1,191,948,13
79,1,183,952,13
80,1,168,948,12
81,1,592,956,12
82,1,1023,645,12
83,1,1023,648,14
84,1,1023,645,16
85,1,191,558,16
86,1,191,558,15
87,1,641,986,12
88,1,641,986,9
89,1,112,956,9
90,0,-1,-1,0
91,0,-1,-1,0
92,1,1567,690,11
93,1,525,952,11
94,1,131,555,11
95,1,131,558,11
96,1,1432,956,11
97,1,198,956,12
98,1,195,956,12
99,1,821,588,12
100,1,131,772,11
101,1,135,765,10
102,1,142,753,10
103,0,-1,-1,0
104,1,948,776,12
105,0,-1,-1,0
106,0,-1,-1,0
107,1,847,581,13
108,1,146,750,12
109,0,-1,-1,0
110,1,926,573,11
111,1,941,573,11
112,1,952,570,11
113,1,971,570,12
114,0,-1,-1,0
115,1,1020,588,11
116,1,1038,596,11
117,0,-1,-1,0
118,1,1057,603,13
119,1,1091,618,15
120,1,1106,622,22
121,1,1125,641,19
122,1,1136,652,17
123,1,1166,667,14
124,1,1170,675,14
125,1,1181,693,11
126,1,1203,712,10
127,1,1215,727,9
128,1,1218,727,9
129,1,1233,746,10
130,1,1312,525,10
131,1,1252,768,12
132,1,1248,765,22
133,1,1248,757,25
134,1,1237,750,21
135,1,135,746,18
136,1,135,746,18
137,1,1215,592,13
138,1,1207,570,11
139,1,1203,551,12
140,1,1200,536,12
141,1,1196,521,13
142,1,1188,506,13
143,1,1188,495,12
144,1,1113,618,12
145,1,1113,618,11
146,1,1113,618,10
147,1,1113,618,8
148,1,1117,622,7
149,1,1121,622,7
150,1,1121,618,7
151,1,1125,618,7
152,1,1125,622,7
153,1,247,660,7
154,1,1128,622,7
155,1,1128,622,7
156,1,1132,618,7
157,1,1136,618,7
158,1,1136,618,7
159,1,1136,618,7
160,1,1140,618,7
161,1,1140,618,7
162,1,1102,405,7
163,1,1098,408,8
