Frame,Recommended_Action,Best_EPV_Score,EPV_left_receive,EPV_left_set,EPV_left_attack,EPV_right_receive,EPV_right_set,EPV_right_attack
0,left_receive,0.6077,0.6077,0.4981,0.4506,0.1805,0.2642,0.4221
1,left_receive,0.4419,0.4419,0.3082,0.2336,0.0262,0.1386,0.2182
2,left_receive,0.4954,0.4954,0.3035,0.2283,-0.014,0.0818,0.2111
3,left_receive,0.5222,0.5222,0.3259,0.2614,-0.0124,0.0798,0.2567
4,left_receive,0.4359,0.4359,0.3042,0.2204,-0.008,0.0972,0.2449
5,left_receive,0.4038,0.4038,0.2877,0.2155,0.026,0.1272,0.2318
6,left_receive,0.4003,0.4003,0.2907,0.1975,0.0009,0.1016,0.1895
7,left_receive,0.5,0.5,0.36,0.2817,0.0207,0.1413,0.2939
8,left_receive,0.4304,0.4304,0.2203,0.1695,-0.0491,0.042,0.1495
9,left_receive,0.4394,0.4394,0.2617,0.2039,-0.0074,0.0702,0.1819
10,left_receive,0.4462,0.4462,0.3094,0.2388,0.0279,0.1236,0.22
11,left_receive,0.6088,0.6088,0.4735,0.3942,0.0983,0.2406,0.3781
12,left_receive,0.4909,0.4909,0.3602,0.2742,-0.0023,0.1118,0.2659
13,left_receive,0.57,0.57,0.4393,0.3777,0.078,0.1969,0.3405
14,left_receive,0.5625,0.5625,0.4206,0.3446,0.0529,0.1877,0.3427
15,left_receive,0.5325,0.5325,0.3781,0.2915,0.0056,0.0973,0.271
16,left_receive,0.5075,0.5075,0.3083,0.2388,-0.006,0.1005,0.2274
17,left_receive,0.5725,0.5725,0.4261,0.3524,0.0828,0.2254,0.3451
18,left_receive,0.3544,0.3544,0.2393,0.1309,-0.0116,0.0906,0.148
19,left_receive,0.5302,0.5302,0.3689,0.2898,0.0389,0.1601,0.2802
20,left_receive,0.4198,0.4198,0.2664,0.2045,-0.0227,0.0372,0.1865
21,left_receive,0.3913,0.3913,0.2579,0.1705,-0.0592,0.0093,0.133
22,left_receive,0.5049,0.5049,0.3311,0.2817,0.0032,0.0662,0.2181
23,left_receive,0.575,0.575,0.4145,0.344,0.0049,0.0892,0.3015
24,left_receive,0.3468,0.3468,0.2612,0.1809,-0.0285,0.0518,0.1642
25,left_receive,0.4106,0.4106,0.2447,0.1726,-0.0398,0.0306,0.1422
26,left_receive,0.5999,0.5999,0.4283,0.3478,0.0413,0.1195,0.3377
27,left_receive,0.4626,0.4626,0.2893,0.2243,0.0124,0.0754,0.1851
28,left_receive,0.4827,0.4827,0.2883,0.2261,-0.0063,0.0758,0.2065
29,left_receive,0.4504,0.4504,0.2766,0.2097,-0.0035,0.0769,0.1945
30,left_receive,0.3636,0.3636,0.2402,0.2007,0.0111,0.0954,0.1852
31,left_receive,0.4525,0.4525,0.2965,0.2164,-0.0063,0.0733,0.1895
32,left_receive,0.4784,0.4784,0.292,0.2311,-0.0032,0.0731,0.2048
33,left_receive,0.473,0.473,0.3106,0.233,0.0293,0.0934,0.2035
34,left_receive,0.5517,0.5517,0.385,0.3491,0.0541,0.1193,0.2968
35,left_receive,0.5402,0.5402,0.3754,0.3416,0.044,0.1149,0.264
36,left_receive,0.355,0.355,0.2544,0.1773,-0.0116,0.054,0.1599
37,left_receive,0.5396,0.5396,0.3711,0.3368,0.0399,0.1112,0.2589
38,left_receive,0.5245,0.5245,0.3446,0.3056,0.014,0.0811,0.2268
39,left_receive,0.5078,0.5078,0.3246,0.2617,-0.0279,0.0456,0.2329
40,left_receive,0.5273,0.5273,0.3476,0.3126,0.0183,0.0884,0.234
41,left_receive,0.5359,0.5359,0.3598,0.327,0.0297,0.1078,0.2502
