Frame,Recommended_Action,Best_EPV_Score,EPV_left_receive,EPV_left_set,EPV_left_attack,EPV_right_receive,EPV_right_set,EPV_right_attack
0,left_receive,0.1588,0.1588,0.0743,0.0713,0.0538,0.0301,0.0355
1,left_receive,0.1178,0.1178,0.0839,0.0805,0.0678,0.0579,0.0624
2,left_receive,0.1553,0.1553,0.1035,0.0863,0.0864,0.0672,0.0748
3,left_receive,0.1378,0.1378,0.0954,0.0921,0.083,0.0698,0.0735
4,left_receive,0.1259,0.1259,0.1047,0.0913,0.0896,0.0667,0.0832
5,left_receive,0.1662,0.1662,0.1228,0.1243,0.1008,0.0841,0.0889
6,left_receive,0.1795,0.1795,0.1445,0.1251,0.1257,0.0862,0.0862
7,left_receive,0.2728,0.2728,0.2338,0.216,0.2071,0.1666,0.1679
8,left_receive,0.2777,0.2777,0.2345,0.221,0.2089,0.1722,0.1719
9,left_receive,0.2726,0.2726,0.2285,0.2142,0.1976,0.1671,0.1643
10,left_receive,0.2715,0.2715,0.2217,0.2114,0.1903,0.16,0.1622
11,left_receive,0.2602,0.2602,0.2119,0.2059,0.1708,0.1579,0.159
12,left_receive,0.2154,0.2154,0.1726,0.1398,0.1281,0.1112,0.1172
13,left_receive,0.1672,0.1672,0.1126,0.0915,0.0674,0.0661,0.0728
14,left_receive,0.2807,0.2807,0.2105,0.2038,0.1828,0.1609,0.1602
15,left_receive,0.2528,0.2528,0.2029,0.1816,0.178,0.1485,0.15
16,left_receive,0.262,0.262,0.2038,0.1871,0.1833,0.1567,0.1471
17,left_receive,0.2954,0.2954,0.2144,0.219,0.1862,0.1611,0.1509
18,left_receive,0.273,0.273,0.2087,0.1876,0.1821,0.1555,0.142
19,left_receive,0.2838,0.2838,0.1968,0.191,0.1703,0.1352,0.127
20,left_receive,0.3105,0.3105,0.2333,0.2364,0.2076,0.1817,0.1734
21,left_receive,0.292,0.292,0.2002,0.1971,0.172,0.1402,0.1271
22,left_receive,0.2711,0.2711,0.2038,0.1837,0.187,0.1559,0.1485
23,left_receive,0.2974,0.2974,0.214,0.2103,0.1943,0.1611,0.1582
24,left_receive,0.2978,0.2978,0.2309,0.2196,0.1992,0.1703,0.1669
25,left_receive,0.2659,0.2659,0.2044,0.1807,0.1857,0.155,0.1507
26,left_receive,0.3066,0.3066,0.2286,0.2282,0.2055,0.1708,0.1723
27,left_receive,0.2666,0.2666,0.1843,0.1723,0.1496,0.1217,0.1125
28,left_receive,0.2669,0.2669,0.2071,0.1849,0.182,0.1571,0.1496
29,left_receive,0.2929,0.2929,0.1933,0.1869,0.1643,0.1337,0.1297
30,left_receive,0.2763,0.2763,0.1909,0.1773,0.1568,0.1276,0.1134
31,left_receive,0.2543,0.2543,0.1921,0.1772,0.169,0.1368,0.1195
32,left_receive,0.2618,0.2618,0.2041,0.1786,0.1791,0.1575,0.1524
33,left_receive,0.2573,0.2573,0.1879,0.1682,0.1621,0.1314,0.1278
34,left_receive,0.2047,0.2047,0.1403,0.1404,0.1158,0.0853,0.083
35,left_receive,0.266,0.266,0.2153,0.182,0.1771,0.143,0.159
36,left_receive,0.2207,0.2207,0.1225,0.118,0.088,0.0579,0.0647
37,left_receive,0.233,0.233,0.1756,0.1485,0.1409,0.1025,0.1177
38,left_receive,0.2576,0.2576,0.2054,0.1758,0.1676,0.1366,0.1527
39,left_receive,0.1945,0.1945,0.1,0.1016,0.0788,0.0677,0.0677
40,left_receive,0.3003,0.3003,0.2443,0.2379,0.2181,0.1984,0.2103
41,left_receive,0.2681,0.2681,0.2134,0.2008,0.186,0.1583,0.1857
42,left_receive,0.3051,0.3051,0.2356,0.2152,0.1859,0.1556,0.1877
43,left_receive,0.2834,0.2834,0.2292,0.2113,0.1864,0.1566,0.1855
44,left_receive,0.2866,0.2866,0.2363,0.2187,0.2051,0.1772,0.2038
45,left_receive,0.289,0.289,0.2189,0.2066,0.1793,0.1447,0.1676
46,left_receive,0.2739,0.2739,0.2265,0.1999,0.1829,0.1549,0.1868
47,left_receive,0.3102,0.3102,0.2382,0.2325,0.1926,0.1615,0.1896
48,left_receive,0.2138,0.2138,0.1642,0.1433,0.137,0.1163,0.1316
49,left_receive,0.2764,0.2764,0.1923,0.1635,0.1533,0.1196,0.1468
50,left_receive,0.2592,0.2592,0.1796,0.1648,0.1358,0.0994,0.1388
51,left_receive,0.2521,0.2521,0.1821,0.1577,0.1436,0.1108,0.1347
52,left_receive,0.2412,0.2412,0.2031,0.1851,0.1696,0.1368,0.1675
53,left_receive,0.2811,0.2811,0.2366,0.2147,0.1908,0.1628,0.1798
54,left_receive,0.2384,0.2384,0.1646,0.1637,0.1293,0.1148,0.1239
55,left_receive,0.2646,0.2646,0.1959,0.1945,0.1629,0.1386,0.156
56,left_receive,0.3042,0.3042,0.2331,0.2372,0.1966,0.1745,0.1877
57,left_receive,0.2126,0.2126,0.1518,0.1361,0.118,0.1004,0.0981
58,left_receive,0.2316,0.2316,0.1468,0.1325,0.1043,0.0927,0.0937
59,left_receive,0.1896,0.1896,0.1129,0.108,0.0827,0.0736,0.0737
60,left_receive,0.2104,0.2104,0.1234,0.1212,0.0901,0.0779,0.0775
61,left_receive,0.1824,0.1824,0.1321,0.1208,0.1007,0.0895,0.0882
62,left_receive,0.1992,0.1992,0.1317,0.1087,0.0944,0.0705,0.0773
63,left_receive,0.2155,0.2155,0.1312,0.1173,0.0917,0.0714,0.074
64,left_receive,0.1585,0.1585,0.0947,0.0884,0.0679,0.0571,0.0511
65,left_receive,0.174,0.174,0.1106,0.093,0.0752,0.0584,0.0564
66,left_receive,0.1594,0.1594,0.1015,0.0978,0.0786,0.0653,0.0605
67,left_receive,0.2051,0.2051,0.135,0.115,0.0994,0.0759,0.0802
68,left_receive,0.1887,0.1887,0.1244,0.11,0.0983,0.0761,0.0755
69,left_receive,0.1881,0.1881,0.1274,0.1141,0.0942,0.0799,0.0727
70,left_receive,0.3213,0.3213,0.2182,0.1849,0.17,0.1403,0.1476
71,left_receive,0.213,0.213,0.1497,0.1297,0.1126,0.0942,0.0879
72,left_receive,0.2244,0.2244,0.1534,0.129,0.1154,0.0972,0.0942
73,left_receive,0.274,0.274,0.1944,0.1777,0.1532,0.1283,0.1209
74,left_receive,0.2743,0.2743,0.1895,0.1688,0.1401,0.1025,0.1159
75,left_receive,0.2421,0.2421,0.1871,0.1672,0.1564,0.1339,0.1293
76,left_receive,0.1935,0.1935,0.1227,0.1233,0.1019,0.0829,0.0794
77,left_receive,0.2115,0.2115,0.1447,0.1304,0.1105,0.0878,0.0888
78,left_receive,0.2048,0.2048,0.1164,0.0989,0.0799,0.0637,0.0563
79,left_receive,0.2085,0.2085,0.1447,0.1311,0.1066,0.0873,0.0841
80,left_receive,0.2142,0.2142,0.1392,0.1311,0.1059,0.0773,0.0763
81,left_receive,0.1962,0.1962,0.1269,0.1181,0.0929,0.0752,0.0737
82,left_receive,0.308,0.308,0.2082,0.1811,0.1664,0.1317,0.143
83,left_receive,0.2607,0.2607,0.1685,0.1447,0.1263,0.0928,0.0956
84,left_receive,0.2729,0.2729,0.1786,0.1637,0.139,0.0976,0.0895
85,left_receive,0.2064,0.2064,0.1456,0.1302,0.1141,0.0812,0.0826
86,left_receive,0.256,0.256,0.196,0.1795,0.1641,0.1272,0.1265
87,left_receive,0.2105,0.2105,0.1443,0.1113,0.1136,0.0716,0.0961
88,left_receive,0.2962,0.2962,0.2087,0.2003,0.1826,0.1516,0.1661
89,left_receive,0.1827,0.1827,0.1256,0.1027,0.1061,0.0696,0.0881
90,left_receive,0.317,0.317,0.2457,0.2437,0.218,0.1835,0.1848
91,left_receive,0.2177,0.2177,0.1611,0.1286,0.1228,0.0991,0.0991
92,left_receive,0.2937,0.2937,0.2211,0.197,0.1839,0.1525,0.1614
93,left_receive,0.2422,0.2422,0.1692,0.1362,0.1181,0.0959,0.0998
94,left_receive,0.1956,0.1956,0.1202,0.0965,0.0909,0.0557,0.0626
95,left_receive,0.2051,0.2051,0.1284,0.1112,0.0907,0.0629,0.0676
96,left_receive,0.1917,0.1917,0.1313,0.0969,0.0917,0.0644,0.0616
97,left_receive,0.2671,0.2671,0.1911,0.1665,0.1621,0.1325,0.1397
98,left_receive,0.1877,0.1877,0.1336,0.106,0.0979,0.0712,0.0664
99,left_receive,0.2209,0.2209,0.1263,0.1121,0.0911,0.0654,0.0702
100,left_receive,0.1794,0.1794,0.1521,0.123,0.1315,0.0789,0.1067
101,left_receive,0.2508,0.2508,0.1888,0.1719,0.1533,0.1216,0.1376
102,left_receive,0.2138,0.2138,0.1723,0.1461,0.1428,0.1023,0.1155
103,left_receive,0.2069,0.2069,0.1769,0.1413,0.1457,0.1031,0.1096
104,left_receive,0.2178,0.2178,0.1728,0.1457,0.1363,0.1087,0.1109
105,left_receive,0.2571,0.2571,0.217,0.1984,0.1829,0.1475,0.1581
106,left_receive,0.1667,0.1667,0.1384,0.1096,0.1184,0.0788,0.0974
107,left_receive,0.2404,0.2404,0.1716,0.1363,0.1333,0.0926,0.1048
108,left_receive,0.2195,0.2195,0.1585,0.1374,0.128,0.0882,0.1074
109,left_receive,0.2617,0.2617,0.1874,0.1554,0.1445,0.1137,0.1309
110,left_receive,0.1501,0.1501,0.0928,0.0595,0.044,0.0557,0.0369
111,left_receive,0.2035,0.2035,0.1185,0.0924,0.0886,0.0742,0.0721
112,left_receive,0.2089,0.2089,0.1249,0.1041,0.1026,0.0837,0.0836
113,left_receive,0.2094,0.2094,0.1117,0.0911,0.0842,0.0747,0.0693
114,left_receive,0.2214,0.2214,0.1299,0.1058,0.1043,0.0885,0.0836
115,left_receive,0.1892,0.1892,0.1131,0.1087,0.1032,0.0927,0.077
116,left_receive,0.1569,0.1569,0.1151,0.0994,0.096,0.0957,0.0829
117,left_receive,0.2102,0.2102,0.1371,0.1175,0.1121,0.1064,0.0928
118,left_receive,0.1902,0.1902,0.1146,0.1051,0.0973,0.0998,0.0813
119,left_receive,0.2142,0.2142,0.1443,0.1339,0.1205,0.1188,0.1022
120,left_receive,0.1868,0.1868,0.1233,0.0894,0.1052,0.0688,0.08
121,left_receive,0.1764,0.1764,0.1177,0.0859,0.1011,0.0698,0.0706
122,left_receive,0.177,0.177,0.1248,0.1017,0.1097,0.0762,0.0767
123,left_receive,0.2009,0.2009,0.1313,0.1097,0.1061,0.0802,0.0846
124,left_receive,0.1766,0.1766,0.1192,0.096,0.1113,0.0746,0.0795
125,left_receive,0.2099,0.2099,0.1373,0.1173,0.1199,0.0849,0.096
126,left_receive,0.2687,0.2687,0.179,0.1565,0.163,0.13,0.1375
127,left_receive,0.2264,0.2264,0.1439,0.1254,0.1191,0.0805,0.0897
128,left_receive,0.2171,0.2171,0.1363,0.1201,0.114,0.0804,0.0893
129,left_receive,0.2379,0.2379,0.1569,0.1396,0.1309,0.097,0.1088
130,left_receive,0.1975,0.1975,0.1352,0.125,0.1064,0.081,0.083
131,left_receive,0.2483,0.2483,0.169,0.1566,0.1469,0.1144,0.1304
132,left_receive,0.1541,0.1541,0.1003,0.0747,0.0865,0.053,0.0539
133,left_receive,0.1912,0.1912,0.1187,0.0965,0.102,0.0642,0.0755
134,left_receive,0.1756,0.1756,0.1037,0.0848,0.0821,0.0562,0.0552
135,left_receive,0.2471,0.2471,0.157,0.144,0.1432,0.1084,0.1178
136,left_receive,0.2105,0.2105,0.1366,0.1221,0.1188,0.0873,0.0875
137,left_receive,0.17,0.17,0.1042,0.0767,0.0898,0.0581,0.0487
138,left_receive,0.2212,0.2212,0.1371,0.1203,0.12,0.0919,0.0888
139,left_receive,0.2264,0.2264,0.1393,0.1196,0.1172,0.0855,0.0924
140,left_receive,0.2449,0.2449,0.1612,0.1403,0.1323,0.0995,0.1091
141,left_receive,0.1571,0.1571,0.1026,0.077,0.0891,0.0568,0.0617
142,left_receive,0.1954,0.1954,0.1357,0.1209,0.1043,0.0783,0.0815
143,left_receive,0.2096,0.2096,0.1361,0.1354,0.1167,0.0896,0.0996
144,left_receive,0.2005,0.2005,0.1354,0.1122,0.0996,0.0633,0.0706
145,left_receive,0.1839,0.1839,0.1344,0.1123,0.1075,0.0799,0.0865
146,left_receive,0.1754,0.1754,0.1065,0.0956,0.0923,0.0862,0.0731
147,left_receive,0.1831,0.1831,0.1111,0.0998,0.084,0.0656,0.0493
